"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2022","1.0001","1.0000","1.0008","0.9999","626.92M","0.01%"
"10/23/2022","1.0003","1.0001","1.0010","0.9999","1.03B","0.03%"
"10/30/2022","1.0003","1.0003","1.0011","0.9998","984.09M","0.00%"
"11/06/2022","0.9986","1.0002","1.0012","0.9818","2.40B","-0.17%"
"11/13/2022","0.9989","1.0005","1.0006","0.9987","977.17M","0.04%"
"11/20/2022","0.9993","0.9990","1.0004","0.9986","1.80B","0.04%"
"11/27/2022","1.0001","1.0001","1.0014","0.9992","1.62B","0.08%"
"12/04/2022","1.0001","1.0001","1.0010","0.9997","1.04B","0.00%"
"12/11/2022","1.0003","1.0001","1.0010","0.9992","1.10B","0.02%"
"12/18/2022","1.0003","1.0003","1.0014","0.9998","864.39M","0.00%"
"12/25/2022","0.9999","1.0003","1.0012","0.9996","617.52M","-0.03%"
"01/01/2023","0.9999","0.9999","1.0016","0.9994","761.86M","-0.01%"
"01/08/2023","1.0002","0.9999","1.0009","0.9996","1.17B","0.03%"
"01/15/2023","1.0001","1.0002","1.0007","0.9992","1.03B","-0.01%"
"01/22/2023","1.0002","1.0001","1.0003","0.9997","979.49M","0.00%"
"01/29/2023","1.0000","1.0002","1.0006","0.9997","1.01B","-0.02%"
"02/05/2023","1.0001","1.0000","1.0003","0.9997","1.02B","0.01%"
"02/12/2023","1.0001","1.0001","1.0025","0.9996","1.75B","0.00%"
"02/19/2023","1.0002","1.0001","1.0007","0.9999","1.20B","0.01%"
"02/26/2023","1.0000","1.0002","1.0008","0.9998","985.71M","-0.02%"
"03/05/2023","1.0068","1.0000","1.0317","0.9996","1.36B","0.68%"
"03/12/2023","1.0015","1.0068","1.0174","1.0001","2.31B","-0.53%"
"03/19/2023","1.0006","1.0015","1.0024","1.0001","1.26B","-0.09%"
"03/26/2023","1.0002","1.0006","1.0007","0.9996","802.32M","-0.05%"
"04/02/2023","0.9999","1.0002","1.0003","0.9995","699.68M","-0.03%"
"04/09/2023","1.0003","0.9990","1.0009","0.9990","867.99M","0.05%"
"04/16/2023","1.0003","1.0003","1.0008","0.9997","744.22M","-0.01%"
"04/23/2023","1.0004","1.0003","1.0008","0.9997","598.58M","0.02%"
"04/30/2023","1.0019","1.0004","1.0019","1.0000","486.99M","0.14%"
"05/07/2023","1.0006","1.0019","1.0020","1.0001","556.11M","-0.13%"
"05/14/2023","1.0003","1.0006","1.0012","0.9999","427.07M","-0.03%"
"05/21/2023","1.0005","1.0003","1.0011","0.9995","493.77M","0.02%"
